Time,T_int,T_ext,q
0.0,30.106348085788174,17.5076716472212,0.0
600.0,30.08692455646105,17.3133490989088,0.0
1200.0,30.07397557154395,17.1271899982107,0.0
1800.0,30.057143183023022,16.9638001339502,0.0
2400.0,30.04671256586255,16.9471558447853,0.0
3000.0,30.033832394128073,16.8004178266881,0.0
3600.0,30.0092288299316,16.8197788568086,0.0
4200.0,29.98980768485525,16.7943042149131,0.0
4800.0,29.970381492950228,16.7538856085121,0.0
5400.0,29.956837010879127,16.6669347839349,0.0
6000.0,29.94448404924835,16.684935554328,0.0
6600.0,29.91858755549925,16.6924075365808,0.0
7200.0,29.899161363594224,16.6669347839349,0.0
7800.0,29.886212426767624,16.6159873893936,0.0
8400.0,29.866792189986576,16.5905146367477,0.0
9000.0,29.845899672808248,16.5796457836756,0.0
9600.0,29.8214699891764,16.523264907223,0.0
10200.0,29.81415228138695,16.4631508735184,0.0
10800.0,29.7955735018603,16.4376781208726,0.0
11400.0,29.769677014807876,16.4631508735184,0.0
12000.0,29.76184068607215,16.4376781208726,0.0
12600.0,29.743780527491726,16.4631508735184,0.0
13200.0,29.737308319242025,16.4631508735184,0.0
13800.0,29.711412788378723,16.4557771322459,0.0
14400.0,29.691988031270476,16.3103219146417,0.0
15000.0,29.6725683206888,16.2182880639581,0.0
15600.0,29.659621248543225,16.1065597305958,0.0
16200.0,29.6396021477727,16.1809583806881,0.0
16800.0,29.6207745969743,16.1829694869101,0.0
17400.0,29.606514869836552,16.2084394056816,0.0
18000.0,29.584523252624773,16.233909324453,0.0
18600.0,29.56898401359165,16.2593801878492,0.0
19200.0,29.547060810147777,16.2084394056816,0.0
19800.0,29.5321015549099,16.233909324453,0.0
20400.0,29.5171948649003,16.233909324453,0.0
21000.0,29.502953019350198,16.2084394056816,0.0
21600.0,29.491300290422775,16.2084394056816,0.0
22200.0,29.47188105814667,16.0348447595908,0.0
22800.0,29.458243222209873,15.9028107712973,0.0
23400.0,29.43951161987875,15.8518756568785,0.0
24000.0,29.4136180020507,15.7957082656331,0.0
24600.0,29.4099919676287,15.6675774670575,0.0
25200.0,29.381252182420177,15.5273545262798,0.0
25800.0,29.370861913039526,15.4698863866701,0.0
26400.0,29.35075932801525,15.537569698983,0.0
27000.0,29.3359381046645,15.6481427562017,0.0
27600.0,29.316519350430227,15.6226766159296,0.0
28200.0,29.309009431165123,15.5462810289874,0.0
28800.0,29.284151346853598,15.5462810289874,0.0
29400.0,29.271202139250278,15.52081583334,0.0
30000.0,29.258259163625677,15.5717462246348,0.0
30600.0,29.225896206206475,15.6226766159296,0.0
31200.0,29.225205532983225,15.7403711995963,0.0
